Gene Exonic_mutations Pval Qval
ENSG00000267167.1 3 5.74143733914076e-05 0.131249257572758
ENSG00000270246.2 3 0.00028311225499901 0.323597307463868
ENSG00000234840.1 4 0.000916650168283508 0.35086186540732
ENSG00000261325.1 4 0.00101069095228668 0.35086186540732
ENSG00000236457.1 2 0.00107843137254902 0.35086186540732
ENSG00000233605.1 3 0.00137254901960784 0.35086186540732
ENSG00000272945.1 2 0.00147058823529412 0.35086186540732
ENSG00000167355.3 4 0.00186274509803922 0.35086186540732
ENSG00000256884.1 2 0.00186274509803922 0.35086186540732
ENSG00000259093.1 3 0.00196078431372549 0.35086186540732
ENSG00000225913.2 2 0.00245098039215686 0.35086186540732
ENSG00000224216.1 2 0.00294117647058824 0.35086186540732
ENSG00000254865.1 2 0.00323529411764706 0.35086186540732
ENSG00000228293.1 2 0.00333333333333333 0.35086186540732
ENSG00000224671.1 2 0.00352941176470588 0.35086186540732
ENSG00000248165.1 2 0.00352941176470588 0.35086186540732
ENSG00000237222.3 4 0.00372549019607843 0.35086186540732
ENSG00000253523.1 3 0.00401960784313726 0.35086186540732
ENSG00000272831.1 2 0.0042156862745098 0.35086186540732
ENSG00000272304.1 2 0.0046078431372549 0.35086186540732
ENSG00000258010.2 3 0.00470588235294118 0.35086186540732
ENSG00000261655.1 3 0.00509803921568627 0.35086186540732
ENSG00000225407.3 2 0.00529411764705882 0.35086186540732
ENSG00000235965.2 2 0.00529411764705882 0.35086186540732
ENSG00000228566.1 2 0.0057843137254902 0.35086186540732
ENSG00000258776.1 3 0.00598039215686275 0.35086186540732
ENSG00000267092.1 1 0.00598039215686275 0.35086186540732
ENSG00000205682.2 4 0.00617647058823529 0.35086186540732
ENSG00000254823.1 2 0.00627450980392157 0.35086186540732
ENSG00000212163.2 1 0.00666666666666667 0.35086186540732
ENSG00000272382.1 3 0.00676470588235294 0.35086186540732
ENSG00000245651.2 4 0.00686274509803922 0.35086186540732
ENSG00000254876.1 4 0.00705882352941176 0.35086186540732
ENSG00000231173.1 2 0.00764705882352941 0.35086186540732
ENSG00000247134.2 2 0.00823529411764706 0.35086186540732
ENSG00000268743.1 2 0.00823529411764706 0.35086186540732
ENSG00000261617.1 4 0.00843137254901961 0.35086186540732
ENSG00000243961.2 2 0.00852941176470588 0.35086186540732
ENSG00000248461.1 3 0.00872549019607843 0.35086186540732
ENSG00000261781.1 2 0.00941176470588235 0.35086186540732
ENSG00000237414.2 2 0.01 0.35086186540732
ENSG00000251577.1 2 0.01 0.35086186540732
ENSG00000225873.1 1 0.0114705882352941 0.35086186540732
ENSG00000272070.1 3 0.0116666666666667 0.35086186540732
ENSG00000234207.1 2 0.0117647058823529 0.35086186540732
ENSG00000250723.1 3 0.0120588235294118 0.35086186540732
ENSG00000188206.5 4 0.0123529411764706 0.35086186540732
ENSG00000266916.1 2 0.0123529411764706 0.35086186540732
ENSG00000257096.1 2 0.0131372549019608 0.35086186540732
ENSG00000233355.2 4 0.0133333333333333 0.35086186540732
ENSG00000224975.1 2 0.0138235294117647 0.35086186540732
ENSG00000258902.1 2 0.0142156862745098 0.35086186540732
ENSG00000224675.1 3 0.0149019607843137 0.35086186540732
ENSG00000214942.4 2 0.015 0.35086186540732
ENSG00000223779.4 2 0.015 0.35086186540732
ENSG00000224500.1 1 0.015 0.35086186540732
ENSG00000225135.1 3 0.015 0.35086186540732
ENSG00000226876.2 1 0.015 0.35086186540732
ENSG00000227094.1 1 0.015 0.35086186540732
ENSG00000231194.1 1 0.015 0.35086186540732
ENSG00000232299.1 1 0.015 0.35086186540732
ENSG00000233639.1 2 0.015 0.35086186540732
ENSG00000233695.1 2 0.015 0.35086186540732
ENSG00000234978.1 1 0.015 0.35086186540732
ENSG00000235609.4 5 0.015 0.35086186540732
ENSG00000237058.1 1 0.015 0.35086186540732
ENSG00000237460.2 2 0.015 0.35086186540732
ENSG00000244513.2 2 0.015 0.35086186540732
ENSG00000250061.1 2 0.015 0.35086186540732
ENSG00000250770.2 2 0.015 0.35086186540732
ENSG00000250874.1 2 0.015 0.35086186540732
ENSG00000251093.1 1 0.015 0.35086186540732
ENSG00000251141.1 3 0.015 0.35086186540732
ENSG00000253753.1 1 0.015 0.35086186540732
ENSG00000256403.1 1 0.015 0.35086186540732
ENSG00000256597.1 2 0.015 0.35086186540732
ENSG00000258490.1 1 0.015 0.35086186540732
ENSG00000260269.1 2 0.015 0.35086186540732
ENSG00000262905.1 1 0.015 0.35086186540732
ENSG00000263427.1 1 0.015 0.35086186540732
ENSG00000263916.1 1 0.015 0.35086186540732
ENSG00000269973.1 2 0.015 0.35086186540732
ENSG00000271420.1 1 0.015 0.35086186540732
ENSG00000272858.1 2 0.015 0.35086186540732
ENSG00000273297.1 2 0.015 0.35086186540732
ENSG00000246876.2 4 0.0150980392156863 0.35086186540732
ENSG00000224371.1 2 0.0153921568627451 0.35086186540732
ENSG00000249497.1 2 0.0165686274509804 0.35086186540732
ENSG00000260983.1 2 0.0167647058823529 0.35086186540732
ENSG00000204603.2 3 0.017156862745098 0.35086186540732
ENSG00000250066.1 1 0.0179411764705882 0.35086186540732
ENSG00000233219.1 1 0.0182352941176471 0.35086186540732
ENSG00000259542.1 2 0.0185294117647059 0.35086186540732
ENSG00000261959.1 2 0.0186274509803922 0.35086186540732
ENSG00000263878.1 2 0.0186274509803922 0.35086186540732
ENSG00000260059.1 3 0.0187254901960784 0.35086186540732
ENSG00000227125.1 2 0.0199019607843137 0.35086186540732
ENSG00000227509.1 2 0.0199019607843137 0.35086186540732
ENSG00000153363.8 2 0.02 0.35086186540732
ENSG00000179452.2 1 0.02 0.35086186540732
ENSG00000224738.1 2 0.02 0.35086186540732
ENSG00000226667.2 1 0.02 0.35086186540732
ENSG00000229015.1 1 0.02 0.35086186540732
ENSG00000230782.1 2 0.02 0.35086186540732
ENSG00000230881.1 1 0.02 0.35086186540732
ENSG00000231098.1 1 0.02 0.35086186540732
ENSG00000231877.1 3 0.02 0.35086186540732
ENSG00000233536.2 1 0.02 0.35086186540732
ENSG00000233896.1 2 0.02 0.35086186540732
ENSG00000234634.1 1 0.02 0.35086186540732
ENSG00000235099.1 2 0.02 0.35086186540732
ENSG00000236678.3 4 0.02 0.35086186540732
ENSG00000237851.1 1 0.02 0.35086186540732
ENSG00000238284.1 2 0.02 0.35086186540732
ENSG00000245648.1 3 0.02 0.35086186540732
ENSG00000247796.2 2 0.02 0.35086186540732
ENSG00000249901.1 1 0.02 0.35086186540732
ENSG00000251599.1 1 0.02 0.35086186540732
ENSG00000254577.1 1 0.02 0.35086186540732
ENSG00000259351.1 1 0.02 0.35086186540732
ENSG00000259540.1 1 0.02 0.35086186540732
ENSG00000267555.1 1 0.02 0.35086186540732
ENSG00000270137.1 2 0.02 0.35086186540732
ENSG00000270165.1 1 0.02 0.35086186540732
ENSG00000271670.1 2 0.02 0.35086186540732
ENSG00000214970.4 2 0.0204901960784314 0.35086186540732
ENSG00000259515.1 2 0.0213725490196078 0.35086186540732
ENSG00000267448.1 1 0.0230392156862745 0.35086186540732
ENSG00000229656.2 2 0.0233333333333333 0.35086186540732
ENSG00000258719.1 2 0.0236274509803922 0.35086186540732
ENSG00000175701.6 2 0.025 0.35086186540732
ENSG00000223586.1 2 0.025 0.35086186540732
ENSG00000231865.1 3 0.025 0.35086186540732
ENSG00000234019.1 2 0.025 0.35086186540732
ENSG00000235575.1 1 0.025 0.35086186540732
ENSG00000235584.2 2 0.025 0.35086186540732
ENSG00000236045.1 1 0.025 0.35086186540732
ENSG00000237061.1 1 0.025 0.35086186540732
ENSG00000237338.1 1 0.025 0.35086186540732
ENSG00000237927.1 2 0.025 0.35086186540732
ENSG00000238282.1 1 0.025 0.35086186540732
ENSG00000245812.2 2 0.025 0.35086186540732
ENSG00000248839.1 1 0.025 0.35086186540732
ENSG00000254615.2 2 0.025 0.35086186540732
ENSG00000259293.1 2 0.025 0.35086186540732
ENSG00000260411.2 3 0.025 0.35086186540732
ENSG00000260454.1 1 0.025 0.35086186540732
ENSG00000263499.1 2 0.025 0.35086186540732
ENSG00000264920.1 2 0.025 0.35086186540732
ENSG00000268659.1 1 0.025 0.35086186540732
ENSG00000270876.1 1 0.025 0.35086186540732
ENSG00000255363.1 1 0.0265686274509804 0.35086186540732
ENSG00000253632.1 1 0.028921568627451 0.35086186540732
ENSG00000189223.9 6 0.03 0.35086186540732
ENSG00000203395.2 2 0.03 0.35086186540732
ENSG00000224606.1 1 0.03 0.35086186540732
ENSG00000227935.1 1 0.03 0.35086186540732
ENSG00000228973.1 1 0.03 0.35086186540732
ENSG00000230648.1 1 0.03 0.35086186540732
ENSG00000230729.1 1 0.03 0.35086186540732
ENSG00000234089.1 2 0.03 0.35086186540732
ENSG00000235281.1 2 0.03 0.35086186540732
ENSG00000235477.2 1 0.03 0.35086186540732
ENSG00000238045.5 2 0.03 0.35086186540732
ENSG00000243276.1 2 0.03 0.35086186540732
ENSG00000249695.2 4 0.03 0.35086186540732
ENSG00000253376.1 1 0.03 0.35086186540732
ENSG00000254197.1 1 0.03 0.35086186540732
ENSG00000255422.1 1 0.03 0.35086186540732
ENSG00000255839.1 1 0.03 0.35086186540732
ENSG00000258443.1 1 0.03 0.35086186540732
ENSG00000263312.1 1 0.03 0.35086186540732
ENSG00000263952.1 2 0.03 0.35086186540732
ENSG00000265479.1 1 0.03 0.35086186540732
ENSG00000267192.1 1 0.03 0.35086186540732
ENSG00000270015.1 2 0.03 0.35086186540732
ENSG00000270104.1 1 0.03 0.35086186540732
ENSG00000273064.1 2 0.03 0.35086186540732
ENSG00000250102.1 2 0.0309803921568627 0.35086186540732
ENSG00000257272.1 1 0.0320588235294118 0.35086186540732
ENSG00000265113.1 1 0.0343137254901961 0.35086186540732
ENSG00000182404.6 2 0.035 0.35086186540732
ENSG00000204581.2 2 0.035 0.35086186540732
ENSG00000215241.3 1 0.035 0.35086186540732
ENSG00000228553.1 1 0.035 0.35086186540732
ENSG00000230190.1 2 0.035 0.35086186540732
